,Pclass,Cabin,Survived
1,1,C85,1
3,1,C123,1
6,1,E46,0
10,3,G6,1
11,1,C103,1
21,2,D56,1
23,1,A6,1
27,1,C23 C25 C27,0
31,1,B78,1
52,1,D33,1
54,1,B30,0
55,1,C52,1
61,1,B28,1
62,1,C83,0
66,2,F33,1
75,3,F G73,0
88,1,C23 C25 C27,1
92,1,E31,0
96,1,A5,0
97,1,D10 D12,1
102,1,D26,0
110,1,C110,0
118,1,B58 B60,0
123,2,E101,1
124,1,D26,0
128,3,F E69,1
136,1,D47,1
137,1,C123,0
139,1,B86,0
148,2,F2,0
151,1,C2,1
166,1,E33,1
170,1,B19,0
174,1,A7,0
177,1,C49,0
183,2,F4,1
185,1,A32,0
193,2,F2,1
194,1,B4,1
195,1,B80,1
205,3,G6,0
209,1,A31,1
215,1,D36,1
218,1,D15,1
224,1,C93,1
230,1,C83,1
245,1,C78,0
248,1,D35,1
251,3,G6,0
252,1,C87,0
257,1,B77,1
262,1,E67,0
263,1,B94,0
268,1,C125,1
269,1,C99,1
273,1,C118,0
275,1,D7,1
284,1,A19,0
291,1,B49,1
292,2,D,0
297,1,C22 C26,0
298,1,C106,1
299,1,B58 B60,1
303,2,E101,1
305,1,C22 C26,1
307,1,C65,1
309,1,E36,1
310,1,C54,1
311,1,B57 B59 B63 B66,1
318,1,C7,1
319,1,E34,1
325,1,C32,1
327,2,D,1
329,1,B18,1
331,1,C124,0
332,1,C91,0
336,1,C2,0
337,1,E40,1
339,1,T,0
340,2,F2,1
341,1,C23 C25 C27,1
345,2,F33,1
351,1,C128,0
356,1,E33,1
366,1,D37,1
369,1,B35,1
370,1,E50,1
377,1,C82,0
390,1,B96 B98,1
393,1,D36,1
394,3,G6,1
412,1,C78,1
429,3,E10,1
430,1,C52,1
434,1,E44,0
435,1,B96 B98,1
438,1,C23 C25 C27,0
445,1,A34,1
449,1,C104,1
452,1,C111,0
453,1,C92,1
456,1,E38,0
457,1,D21,1
460,1,E12,1
462,1,E63,0
473,2,D,1
475,1,A14,0
484,1,B49,1
486,1,C93,1
487,1,B37,0
492,1,C30,0
496,1,D20,1
498,1,C22 C26,0
504,1,B79,1
505,1,C65,0
512,1,E25,1
515,1,D46,0
516,2,F33,1
520,1,B73,1
523,1,B18,1
527,1,C95,0
536,1,B38,0
539,1,B39,1
540,1,B22,1
544,1,C86,0
550,1,C70,1
556,1,A16,1
558,1,E67,1
571,1,C101,1
572,1,E25,1
577,1,E44,1
581,1,C68,1
583,1,A10,0
585,1,E68,1
587,1,B41,1
591,1,D20,1
599,1,A20,1
609,1,C125,1
618,2,F4,1
621,1,D19,1
625,1,D50,0
627,1,D9,1
630,1,A23,1
632,1,B50,1
641,1,B35,1
645,1,D33,1
647,1,A26,1
659,1,D48,0
662,1,E58,0
669,1,C126,1
671,1,B71,0
679,1,B51 B53 B55,1
681,1,D49,1
689,1,B5,1
690,1,B20,1
698,1,C68,0
699,3,F G63,0
700,1,C62 C64,1
701,1,E24,1
707,1,E24,1
710,1,C90,1
711,1,C124,0
712,1,C126,1
715,3,F G73,0
716,1,C45,1
717,2,E101,1
724,1,E8,1
730,1,B5,1
737,1,B101,1
740,1,D45,1
741,1,C46,0
742,1,B57 B59 B63 B66,1
745,1,B22,0
748,1,D30,0
751,3,E121,1
759,1,B77,1
763,1,B96 B98,1
765,1,D11,1
772,2,E77,0
776,3,F38,0
779,1,B3,1
781,1,B20,1
782,1,D6,0
789,1,B82 B84,0
796,1,D17,1
802,1,B96 B98,1
806,1,A36,0
809,1,E8,1
815,1,B102,0
820,1,B69,1
823,3,E121,1
829,1,B28,1
835,1,E49,1
839,1,C47,1
849,1,C92,1
853,1,D28,1
857,1,E17,1
862,1,D17,1
867,1,A24,0
871,1,D35,1
872,1,B51 B53 B55,0
879,1,C50,1
887,1,B42,1
889,1,C148,1
